"source","title","author","genre","price_usd","rating","ratings_count","year","language"
"Open Library","The Iron Heel","Jack London","fiction",0,3.5,20,1907,"chi"
"Open Library","Brood of the Witch-Queen","Sax Rohmer","fiction",0,4.6,5,1924,"en"
"Open Library","The Narrative of Arthur Gordon Pym","Edgar Allan Poe","fiction",0,4.285714,7,1838,"jpn"
"Open Library","The Napoleon of Notting Hill","Gilbert Keith Chesterton","fiction",0,4.571429,7,1904,"es"
"Open Library","Emily of New Moon","Lucy Maud Montgomery","fiction",0,3.6666667,9,1923,"dan"
"Open Library","The Vampyre","John William Polidori","fiction",0,3.5833333,12,1819,"en"
"Open Library","The Sea Fairies","L. Frank Baum","fiction",0,3.3333333,3,1911,"rus"
"Open Library","The Enchanted Castle","Edith Nesbit","fiction",0,4.181818,11,1907,"es"
"Open Library","Pollyanna","Eleanor Hodgman Porter","fiction",0,3.8636363,22,1912,"rus"
"Open Library","Игрокъ","Фёдор Михайлович Достоевский","fiction",0,3.7142856,7,1866,"por"
"Open Library","Anne of the Island","Lucy Maud Montgomery","fiction",0,3.875,16,1826,"de"
"Open Library","Lilith","George MacDonald","fiction",0,3.5,6,1895,"en"
"Open Library","Anthem","Ayn Rand","fiction",0,3.490196,51,1936,"de"
"Open Library","Le roman du masque de fer","Alexandre Dumas","fiction",0,4.5,8,1600,"de"
"Open Library","Tarzan of the Apes","Edgar Rice Burroughs","fiction",0,4.4,5,1912,"en"
"Open Library","The Road to Oz","L. Frank Baum","fiction",0,3.375,8,1909,"en"
"Open Library","The Canterville Ghost","Oscar Wilde","fiction",0,4.571429,7,1887,"rus"
"Open Library","The food of the gods and how it came to earth","H. G. Wells","fiction",0,3.8125,16,1900,"en"
"Open Library","Martin Eden","Jack London","fiction",0,3.804878,41,1908,"es"
"Open Library","The Last Man","Mary Shelley","fiction",0,3.5,8,1826,"de"
"Open Library","Anne of Windy Poplars","Lucy Maud Montgomery","fiction",0,3.625,16,1900,"dan"
"Open Library","The blue castle","Lucy Maud Montgomery","fiction",0,3.7619047,21,1926,"chi"
"Open Library","Phantastes","George MacDonald","fiction",0,4.1764708,17,1850,"en"
"Open Library","Just So Stories","Rudyard Kipling","fiction",0,3.5714285,7,1922,"es"
"Open Library","A Modern Utopia","H. G. Wells","fiction",0,3.357143,14,1900,"ita"
"Open Library","The Complete Life and Adventures of Santa Claus","L. Frank Baum","fiction",0,4.25,4,1902,"en"
"Open Library","The King in Yellow","Robert W. Chambers","fiction",0,3.9375,16,1895,"en"
"Open Library","Jo's Boys","Louisa May Alcott","fiction",0,3.7272727,11,1886,"en"
"Open Library","Of Human Bondage","William Somerset Maugham","fiction",0,4.181818,11,1915,"vie"
"Open Library","Herland","Charlotte Perkins Gilman","fiction",0,3.8888888,9,1915,"en"
"Open Library","The Power of Darkness","Edith Nesbit","fiction",0,2.25,8,2006,"en"
"Open Library","Dorothy and the Wizard in Oz","L. Frank Baum","fiction",0,3.7,10,1908,"es"
"Open Library","Carmilla","Sheridan Le Fanu","fiction",0,3.9322033,59,1871,"fr"
"Open Library","The Phoenix and the Carpet","Edith Nesbit","fiction",0,3.1,10,1903,"en"
"Open Library","The Mystery of the Blue Train","Agatha Christie","fiction",0,3.9629629,27,1928,"rus"
"Open Library","Kim","Rudyard Kipling","fiction",0,3.7222223,18,1901,"fr"
"Open Library","Daddy-Long-Legs","Jean Webster","fiction",0,4.8,5,1912,"chi"
"Open Library","The Man in the Brown Suit","Agatha Christie","fiction",0,4.111111,18,1924,"en"
"Open Library","Under the Greenwood Tree or, The Mellstock quire","Thomas Hardy","fiction",0,3.5,4,1872,"en"
"Open Library","A Little Princess","Frances Hodgson Burnett","fiction",0,4.2105265,19,1905,"en"
"Open Library","A Princess of Mars","Edgar Rice Burroughs","fiction",0,4.023256,43,1917,"en"
"Open Library","On the Beach","Nevil Shute","fiction",0,3.75,8,1957,"en"
"Open Library","Howards End","E. M. Forster","fiction",0,4.4444447,9,1910,"de"
"Open Library","The Black Cat","Edgar Allan Poe","fiction",0,4.1578946,19,1914,"es"
"Open Library","The Jewel of Seven Stars","Bram Stoker","fiction",0,4.5,6,1902,"de"
"Open Library","Shirley","Charlotte Brontë","fiction",0,4.111111,9,1800,"por"
"Open Library","Мастер и Маргарита","Михаил Афанасьевич Булгаков","fiction",0,4.1595745,94,1966,"por"
"Open Library","An American Tragedy","Theodore Dreiser","fiction",0,3.857143,14,1900,"rus"
"Open Library","The Story of the Amulet","Edith Nesbit","fiction",0,3.6666667,9,1905,"fr"
"Open Library","Sult","Knut Hamsun","fiction",0,3.75,16,1890,"fr"
"Open Library","Jamaica Inn","Daphne du Maurier","fiction",0,4,4,1936,"en"
"Open Library","The World Set Free","H. G. Wells","fiction",0,3.5,4,1914,"en"
"Open Library","The Book of Dragons","Edith Nesbit","fiction",0,3.7857144,14,1973,"es"
"Open Library","The Picture of Dorian Gray","Oscar Wilde","fiction",0,4.1512604,119,1890,"yid"
"Open Library","She","H. Rider Haggard","fiction",0,3.8333333,6,1886,"pl"
"Open Library","The Beautiful and Damned","F. Scott Fitzgerald","fiction",0,4.1,10,1920,"chi"
"Open Library","Voyage au Centre de la Terre","Jules Verne","fiction",0,4.1235957,89,1867,"por"
"Open Library","The First Men in the Moon","H. G. Wells","fiction",0,3.2666667,15,1900,"rus"
"Open Library","The Invisible Man","H. G. Wells","fiction",0,3.8018868,106,0,"por"
"Open Library","Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte","Michael Ende","fiction",0,4.529412,34,1973,"en"
"Open Library","Mrs. Dalloway","Virginia Woolf","fiction",0,3.64,50,1925,"dan"
"Open Library","The Sun Also Rises","Ernest Hemingway","fiction",0,3.6666667,27,1926,"por"
"Open Library","Der Zauberberg","Thomas Mann","fiction",0,4.230769,13,1924,"rus"
"Open Library","The Secret of Chimneys","Agatha Christie","fiction",0,4.368421,19,1925,"de"
"Open Library","The Silmarillion","J.R.R. Tolkien","fiction",0,3.957265,117,1977,"por"
"Open Library","Kidnapped","Robert Louis Stevenson","fiction",0,3.7777777,18,1886,"per"
"Open Library","Eva Luna","Isabel Allende","fiction",0,4.111111,9,1987,"ita"
"Open Library","Demian","Hermann Hesse","fiction",0,4.188679,53,1919,"fr"
