"source","title","author","genre","price_usd","rating","ratings_count","year","language"
"Open Library","The Iron Heel","Jack London","fiction",NA,3.5,20,1907,"chi"
"Open Library","Brood of the Witch-Queen","Sax Rohmer","fiction",NA,4.6,5,1924,"en"
"Open Library","The Narrative of Arthur Gordon Pym","Edgar Allan Poe","fiction",NA,4.285714,7,1838,"jpn"
"Open Library","The Napoleon of Notting Hill","Gilbert Keith Chesterton","fiction",NA,4.571429,7,1904,"es"
"Open Library","Emily of New Moon","Lucy Maud Montgomery","fiction",NA,3.6666667,9,1923,"dan"
"Open Library","The Vampyre","John William Polidori","fiction",NA,3.5833333,12,1819,"en"
"Open Library","The Sea Fairies","L. Frank Baum","fiction",NA,3.3333333,3,1911,"rus"
"Open Library","The Enchanted Castle","Edith Nesbit","fiction",NA,4.181818,11,1907,"es"
"Open Library","Pollyanna","Eleanor Hodgman Porter","fiction",NA,3.8636363,22,1912,"rus"
"Open Library","Игрокъ","Фёдор Михайлович Достоевский","fiction",NA,3.7142856,7,1866,"por"
"Open Library","Anne of the Island","Lucy Maud Montgomery","fiction",NA,3.875,16,1826,"de"
"Open Library","Lilith","George MacDonald","fiction",NA,3.5,6,1895,"en"
"Open Library","Anthem","Ayn Rand","fiction",NA,3.490196,51,1936,"de"
"Open Library","Le roman du masque de fer","Alexandre Dumas","fiction",NA,4.5,8,1600,"de"
"Open Library","Tarzan of the Apes","Edgar Rice Burroughs","fiction",NA,4.4,5,1912,"en"
"Open Library","The Road to Oz","L. Frank Baum","fiction",NA,3.375,8,1909,"en"
"Open Library","The Canterville Ghost","Oscar Wilde","fiction",NA,4.571429,7,1887,"rus"
"Open Library","The food of the gods and how it came to earth","H. G. Wells","fiction",NA,3.8125,16,1900,"en"
"Open Library","Martin Eden","Jack London","fiction",NA,3.804878,41,1908,"es"
"Open Library","The Last Man","Mary Shelley","fiction",NA,3.5,8,1826,"de"
"Open Library","Anne of Windy Poplars","Lucy Maud Montgomery","fiction",NA,3.625,16,1900,"dan"
"Open Library","The blue castle","Lucy Maud Montgomery","fiction",NA,3.7619047,21,1926,"chi"
"Open Library","Phantastes","George MacDonald","fiction",NA,4.1764708,17,1850,"en"
"Open Library","Just So Stories","Rudyard Kipling","fiction",NA,3.5714285,7,1922,"es"
"Open Library","A Modern Utopia","H. G. Wells","fiction",NA,3.357143,14,1900,"ita"
"Open Library","The Complete Life and Adventures of Santa Claus","L. Frank Baum","fiction",NA,4.25,4,1902,"en"
"Open Library","The King in Yellow","Robert W. Chambers","fiction",NA,3.9375,16,1895,"en"
"Open Library","Jo's Boys","Louisa May Alcott","fiction",NA,3.7272727,11,1886,"en"
"Open Library","Of Human Bondage","William Somerset Maugham","fiction",NA,4.181818,11,1915,"vie"
"Open Library","Herland","Charlotte Perkins Gilman","fiction",NA,3.8888888,9,1915,"en"
"Open Library","The Power of Darkness","Edith Nesbit","fiction",NA,2.25,8,2006,"en"
"Open Library","Dorothy and the Wizard in Oz","L. Frank Baum","fiction",NA,3.7,10,1908,"es"
"Open Library","Carmilla","Sheridan Le Fanu","fiction",NA,3.9322033,59,1871,"fr"
"Open Library","The Phoenix and the Carpet","Edith Nesbit","fiction",NA,3.1,10,1903,"en"
"Open Library","The Mystery of the Blue Train","Agatha Christie","fiction",NA,3.9629629,27,1928,"rus"
"Open Library","Kim","Rudyard Kipling","fiction",NA,3.7222223,18,1901,"fr"
"Open Library","Daddy-Long-Legs","Jean Webster","fiction",NA,4.8,5,1912,"chi"
"Open Library","The Man in the Brown Suit","Agatha Christie","fiction",NA,4.111111,18,1924,"en"
"Open Library","Under the Greenwood Tree or, The Mellstock quire","Thomas Hardy","fiction",NA,3.5,4,1872,"en"
"Open Library","A Little Princess","Frances Hodgson Burnett","fiction",NA,4.2105265,19,1905,"en"
"Open Library","A Princess of Mars","Edgar Rice Burroughs","fiction",NA,4.023256,43,1917,"en"
"Open Library","On the Beach","Nevil Shute","fiction",NA,3.75,8,1957,"en"
"Open Library","Howards End","E. M. Forster","fiction",NA,4.4444447,9,1910,"de"
"Open Library","The Black Cat","Edgar Allan Poe","fiction",NA,4.1578946,19,1914,"es"
"Open Library","The Jewel of Seven Stars","Bram Stoker","fiction",NA,4.5,6,1902,"de"
"Open Library","Shirley","Charlotte Brontë","fiction",NA,4.111111,9,1800,"por"
"Open Library","Мастер и Маргарита","Михаил Афанасьевич Булгаков","fiction",NA,4.1595745,94,1966,"por"
"Open Library","An American Tragedy","Theodore Dreiser","fiction",NA,3.857143,14,1900,"rus"
"Open Library","The Story of the Amulet","Edith Nesbit","fiction",NA,3.6666667,9,1905,"fr"
"Open Library","Sult","Knut Hamsun","fiction",NA,3.75,16,1890,"fr"
"Open Library","Jamaica Inn","Daphne du Maurier","fiction",NA,4,4,1936,"en"
"Open Library","The World Set Free","H. G. Wells","fiction",NA,3.5,4,1914,"en"
"Open Library","The Book of Dragons","Edith Nesbit","fiction",NA,3.7857144,14,1973,"es"
"Open Library","The Picture of Dorian Gray","Oscar Wilde","fiction",NA,4.1512604,119,1890,"yid"
"Open Library","She","H. Rider Haggard","fiction",NA,3.8333333,6,1886,"pl"
"Open Library","The Beautiful and Damned","F. Scott Fitzgerald","fiction",NA,4.1,10,1920,"chi"
"Open Library","Voyage au Centre de la Terre","Jules Verne","fiction",NA,4.1235957,89,1867,"por"
"Open Library","The First Men in the Moon","H. G. Wells","fiction",NA,3.2666667,15,1900,"rus"
"Open Library","The Invisible Man","H. G. Wells","fiction",NA,3.8018868,106,NA,"por"
"Open Library","Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte","Michael Ende","fiction",NA,4.529412,34,1973,"en"
"Open Library","Mrs. Dalloway","Virginia Woolf","fiction",NA,3.64,50,1925,"dan"
"Open Library","The Sun Also Rises","Ernest Hemingway","fiction",NA,3.6666667,27,1926,"por"
"Open Library","Der Zauberberg","Thomas Mann","fiction",NA,4.230769,13,1924,"rus"
"Open Library","The Secret of Chimneys","Agatha Christie","fiction",NA,4.368421,19,1925,"de"
"Open Library","The Silmarillion","J.R.R. Tolkien","fiction",NA,3.957265,117,1977,"por"
"Open Library","Kidnapped","Robert Louis Stevenson","fiction",NA,3.7777777,18,1886,"per"
"Open Library","Eva Luna","Isabel Allende","fiction",NA,4.111111,9,1987,"ita"
"Open Library","Demian","Hermann Hesse","fiction",NA,4.188679,53,1919,"fr"
"Open Library","La Peste","Albert Camus","fiction",NA,4.107143,28,1942,"arm"
"Open Library","The Old Curiosity Shop","Charles Dickens","fiction",NA,4,5,1800,"por"
"Open Library","White Fang","Jack London","fiction",NA,3.9846153,65,1905,"por"
"Open Library","The Silver Chair","C. S. Lewis","fiction",NA,4,31,1953,"pl"
"Open Library","The Scarlet Pimpernel","Emma Orczy","fiction",NA,4.296296,27,1900,"pl"
"Open Library","The Riddle of the Sands","Erskine Childers","fiction",NA,3.75,4,1903,"chi"
"Open Library","Le fantôme de l'opéra","Gaston Leroux","fiction",NA,3.8461537,39,1911,"jpn"
"Open Library","The Innocence of Father Brown (Father Brown Mystery)","Gilbert Keith Chesterton","fiction",NA,4.2352943,17,1583,"por"
"Open Library","Ordeal by Innocence","Agatha Christie","fiction",NA,4,2,1958,"por"
"Open Library","Ivanhoe","Sir Walter Scott","fiction",NA,3.5333333,15,1800,"de"
"Open Library","A Room with a View","E. M. Forster","fiction",NA,3.75,20,1905,"chi"
"Open Library","It Can't Happen Here","Sinclair Lewis","fiction",NA,3.7368422,19,1935,"rus"
"Open Library","The Last Battle","C. S. Lewis","fiction",NA,3.875,72,1956,"pl"
"Open Library","A Passage to India","E. M. Forster","fiction",NA,3.5,16,1924,"fr"
"Open Library","Anne of Avonlea","Lucy Maud Montgomery","fiction",NA,4.285714,28,1909,"pl"
"Open Library","Villette, a novel","Charlotte Brontë","fiction",NA,3.4,5,1853,"por"
"Open Library","After the Funeral","Agatha Christie","fiction",NA,4.1764708,17,1953,"fr"
"Open Library","Tik-Tok of Oz","L. Frank Baum","fiction",NA,2.5,2,1914,"en"
"Open Library","The Hollow","Agatha Christie","fiction",NA,3.6666667,9,1946,"fr"
"Open Library","Murder on the Links","Agatha Christie","fiction",NA,3.5,22,1923,"por"
"Open Library","The Princess and the Goblin","George MacDonald","fiction",NA,3.5,6,1872,"chi"
"Open Library","The Twits","Roald Dahl","fiction",NA,3.9454546,55,1967,"fr"
"Open Library","The Lost World","Arthur Conan Doyle","fiction",NA,4.0454545,44,1900,"chi"
"Open Library","Sons and Lovers","D. H. Lawrence","fiction",NA,4.5,10,1913,"de"
"Open Library","The Legend of Sleepy Hollow","Washington Irving","fiction",NA,4.125,24,1820,"gre"
"Open Library","His Last Bow [8 stories]","Arthur Conan Doyle","fiction",NA,4.137931,29,1917,"fr"
"Open Library","The Valley of Fear","Arthur Conan Doyle","fiction",NA,4.148148,27,1914,"chi"
"Open Library","The Magician's Nephew","C. S. Lewis","fiction",NA,4.037736,106,1955,"ice"
"Open Library","Der Steppenwolf","Hermann Hesse","fiction",NA,3.9636364,55,1927,"fin"
"Open Library","Memoirs of Fanny Hill","John Cleland","fiction",NA,3.4,5,1749,"en"
"Open Library","The Godfather","Mario Puzo","fiction",NA,4.2272725,44,1969,"pl"
"Open Library","Appointment with Death","Agatha Christie","fiction",NA,3.5714285,14,1938,"heb"
"Open Library","2001","Arthur C. Clarke","science_fiction",NA,4.195122,123,1968,"fr"
"Open Library","The Martian Chronicles","Ray Bradbury","science_fiction",NA,4.093458,107,1950,"rus"
"Open Library","De la terre à la lune","Jules Verne","science_fiction",NA,4.035714,28,1865,"fr"
"Open Library","The book of the damned","Charles Fort","science_fiction",NA,4,2,1919,"en"
"Open Library","Dune","Frank Herbert","science_fiction",NA,4.300242,413,1965,"por"
"Open Library","Мы","Евгений Иванович Замятин","science_fiction",NA,4.075,40,1924,"rus"
"Open Library","The Hitch Hiker's Guide to the Galaxy","Douglas Adams","science_fiction",NA,4.5416665,168,1979,"por"
"Open Library","The Time Machine","H. G. Wells","science_fiction",NA,4.00813,123,1895,"por"
"Open Library","Brave New World","Aldous Huxley","science_fiction",NA,3.9715536,457,1932,"rus"
"Open Library","Flatland","Edwin Abbott Abbott","science_fiction",NA,3.9081633,98,1884,"por"
"Open Library","The War of the Worlds","H. G. Wells","science_fiction",NA,3.8152866,157,NA,"por"
"Open Library","Fahrenheit 451","Ray Bradbury","science_fiction",NA,3.9765809,427,1953,"fr"
"Open Library","R.U.R. and The insect play","Karel Čapek","science_fiction",NA,3.75,8,1920,"de"
"Open Library","Vingt mille lieues sous les mers","Jules Verne","science_fiction",NA,4.05,60,1870,"yid"
"Open Library","When the Sleeper Awakes","H. G. Wells","science_fiction",NA,3.6363637,11,1899,"de"
"Open Library","The Island of Dr. Moreau","H. G. Wells","science_fiction",NA,3.6938775,49,1896,"de"
"Open Library","Frankenstein or The Modern Prometheus","Mary Shelley","science_fiction",NA,3.9629629,216,1818,"rus"
"Open Library","Animal Farm","George Orwell","science_fiction",NA,4.1482143,560,1945,"yid"
"Open Library","Charlie and the Great Glass Elevator","Roald Dahl","science_fiction",NA,3.528302,53,1972,"rus"
"Open Library","Ender's Game","Orson Scott Card","science_fiction",NA,4.3491273,401,1985,"srp"
"Open Library","The Handmaid's Tale","Margaret Atwood","science_fiction",NA,3.9590163,122,1985,"rus"
"Open Library","Бѣсы","Фёдор Михайлович Достоевский","science_fiction",NA,4.5,8,1871,"rus"
"Open Library","Genji monogatari","Murasaki Shikibu","science_fiction",NA,4,8,1900,"pan"
"Open Library","Poirot investigates","Agatha Christie","science_fiction",NA,4.3333335,18,1924,"chi"
"Open Library","Dracula","Bram Stoker","science_fiction",NA,4.0439563,182,1897,"por"
"Open Library","Slaughterhouse-Five","Kurt Vonnegut","science_fiction",NA,4.1647058,255,1968,"bel"
"Open Library","Nineteen Eighty-Four","George Orwell","science_fiction",NA,4.2886076,395,1949,"rum"
"Open Library","The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","science_fiction",NA,3.9503546,141,1875,"rus"
