"source","title","author","genre","price_usd","rating","ratings_count","year","language","scraped_at","snapshot_id"
"Open Library","The Secret of Chimneys","Agatha Christie","historical_fiction",NA,4.43,19,1925,"ger",2025-11-01 09:00:00,1
"iTunes Store","Star Stuff: Science Fiction and Fantasy Stories","Daniel Arenson","science fiction",3.8,3.89,7,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","DK USA","DK Travel","travel",12.17,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Memoirs of Fanny Hill","John Cleland","romance",NA,3.33,5,1749,"eng",2025-11-01 09:00:00,1
"Google Books","A Collection of Tried Recipes Contributed by Various St. Johnsbury House-keepers and Published in Behalf of the Ladies' Benevolent Society of the North Congregational Church, St. Johnsbury, Vt","Mrs. Walter P. Smith, Mrs. Robert McKinnon","Cooking",NA,NA,NA,1883,"en",2025-11-01 09:00:00,1
"iTunes Store","Texas Travel Guide","Lonely Planet","travel",15.47,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Roughing It","Mark Twain","travel",NA,4.24,6,1872,"fre",2025-11-01 09:00:00,1
"Open Library","Архипелаг ГУЛАГ","Александр Исаевич Солженицын","biography",NA,4.44,14,1970,"eng",2025-11-01 09:00:00,1
"Open Library","After You","Jojo Moyes","self_help",NA,4.52,11,2014,"pol",2025-11-01 09:00:00,1
"Open Library","The Daily Laws","Robert Greene","self_help",NA,3.86,14,2021,"eng",2025-11-01 09:00:00,1
"iTunes Store","Once Gone (a Riley Paige Mystery—Book 1)","Blake Pierce","mystery thriller",0,4.61,7184,NA,NA,2025-11-01 09:00:00,1
"Google Books","Fact and Fiction in Modern Science","Henry Vincent Gill","Catholics",NA,NA,NA,1944,"en",2025-11-01 09:00:00,1
"Open Library","Black Beauty","Anna Sewell","biography",NA,4.18,23,1877,"fre",2025-11-01 09:00:00,1
"iTunes Store","Rediscovering Travel","Seth Kugel","travel",12.33,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Death on the Nile","Agatha Christie","mystery",NA,4.2,24,1937,"heb",2025-11-01 09:00:00,1
"Open Library","Мастер и Маргарита","Михаил Афанасьевич Булгаков","fantasy",NA,4.28,94,1966,"por",2025-11-01 09:00:00,1
"iTunes Store","99 Classic Science-Fiction Short Stories","Ray Bradbury, Philip K. Dick, Abraham Merritt, Amelia Reynolds Long, Anthony Melvillle Rud, Arthur Train, Clark Ashton Smith, David H. Keller, Donald Allen Wollheim, E.M. Forster, Edgar Allan Poe, Edgar Fawcett, Ellis Parker Butler, Fletcher Pratt, Francis Flagg, Frank Owen, Frank R. Stockton, Fred M. White, George Allan England, Green Peyton Wertenbaker, H.G. Wells, Isaac Asimov, Jack G. Huekels, Jack London, Jack Williamson, Katherine MacLean, Leo Szilard, Miles John Breuer, Nelson Slade Bond, Peter B. Kyne, Ray Cummings, Raymond F. O'Kelley, Robert Barr, Robert Welles Ritchie, Roquia Sakhawat Hussain, Rudyard Kipling, Seabury Quinn, Tudor Jenks, W.L. Alden & Readym Anthologies","science fiction",0.94,3.01,14,NA,NA,2025-11-01 09:00:00,1
"Open Library","Middlemarch","George Eliot","mystery",NA,4.1,25,1800,"rus",2025-11-01 09:00:00,1
"Google Books","The Nineteenth-century Novel and Its Legacy",NA,"English fiction",NA,NA,NA,1973,"en",2025-11-01 09:00:00,1
"iTunes Store","The Dressmaker’s Secret","Lorna Cook","historical fiction",2.91,4.61,151,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Social Psychology for Dummies","Daniel Richardson","psychology",17.51,NA,NA,NA,NA,2025-11-01 09:00:00,1
